,id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
0,1,2017,Hyderabad,14,13,13,1,normal,0,14,35,0,28
1,2,2017,Pune,8,11,11,1,normal,0,11,0,7,21
2,3,2017,Rajkot,4,7,7,1,normal,0,7,0,10,31
3,4,2017,Indore,11,5,5,1,normal,0,5,0,6,13
4,5,2017,Bangalore,13,3,13,0,normal,0,13,15,0,17
5,6,2017,Hyderabad,4,14,14,1,normal,0,14,0,9,28
6,7,2017,Mumbai,7,8,8,1,normal,0,8,0,4,40
7,8,2017,Indore,13,5,13,0,normal,0,5,0,8,13
8,9,2017,Pune,3,11,11,1,normal,0,3,97,0,21
9,10,2017,Mumbai,14,8,8,1,normal,0,8,0,4,40
10,11,2017,Kolkata,5,7,7,1,normal,0,7,0,8,8
11,12,2017,Bangalore,13,8,8,1,normal,0,8,0,4,17
12,13,2017,Rajkot,11,4,4,1,normal,0,4,0,7,31
13,14,2017,Kolkata,7,14,14,1,normal,0,7,17,0,8
14,15,2017,Delhi,3,5,3,0,normal,0,3,51,0,9
15,16,2017,Mumbai,4,8,8,1,normal,0,8,0,6,40
16,17,2017,Bangalore,11,13,13,1,normal,0,11,27,0,17
17,18,2017,Delhi,3,7,3,0,normal,0,7,0,4,9
18,19,2017,Hyderabad,14,5,5,1,normal,0,14,5,0,28
19,20,2017,Rajkot,13,4,4,1,normal,0,13,21,0,31
20,21,2017,Hyderabad,14,3,14,0,normal,0,14,15,0,28
21,22,2017,Indore,5,8,8,1,normal,0,8,0,8,13
22,23,2017,Kolkata,7,4,4,1,normal,0,4,0,4,8
23,24,2017,Mumbai,8,3,3,1,normal,0,8,14,0,40
24,25,2017,Pune,14,11,11,1,normal,0,11,0,6,21
25,26,2017,Rajkot,5,4,4,1,normal,0,5,26,0,31
26,27,2017,Kolkata,7,13,13,1,normal,0,7,82,0,8
27,28,2017,Mumbai,11,8,8,1,normal,0,11,3,0,40
28,29,2017,Pune,11,7,7,1,normal,0,7,0,7,21
29,30,2017,Bangalore,13,4,4,1,normal,0,4,0,7,17
30,31,2017,Kolkata,3,7,7,1,normal,0,7,0,7,8
31,32,2017,Chandigarh,14,5,5,1,normal,0,14,26,0,26
32,33,2017,Pune,11,13,13,1,normal,0,11,61,0,21
33,34,2017,Rajkot,4,8,4,0,tie,0,8,0,0,31
34,35,2017,Chandigarh,3,5,5,1,normal,0,5,0,10,26
35,36,2017,Hyderabad,14,7,7,1,normal,0,14,48,0,28
36,37,2017,Mumbai,13,8,13,0,normal,0,8,0,5,40
37,38,2017,Pune,4,11,11,1,normal,0,11,0,5,21
38,39,2017,Delhi,14,3,3,1,normal,0,3,0,6,9
39,40,2017,Kolkata,7,11,11,1,normal,0,11,0,4,8
40,41,2017,Delhi,4,3,3,1,normal,0,3,0,7,9
41,42,2017,Bangalore,5,13,13,1,normal,0,5,19,0,17
42,43,2017,Hyderabad,11,14,14,1,normal,0,11,12,0,28
43,44,2017,Delhi,8,3,3,1,normal,0,8,146,0,9
44,45,2017,Bangalore,13,7,7,1,normal,0,7,0,6,17
45,46,2017,Chandigarh,5,4,4,1,normal,0,4,0,6,26
46,47,2017,Hyderabad,8,14,8,0,normal,0,14,0,7,28
47,48,2017,Chandigarh,5,7,7,1,normal,0,5,14,0,26
48,49,2017,Kanpur,4,3,3,1,normal,0,3,0,2,11
49,50,2017,Mumbai,5,8,8,1,normal,0,5,7,0,40
50,51,2017,Delhi,3,11,3,0,normal,0,3,7,0,9
51,52,2017,Kanpur,4,14,14,1,normal,0,14,0,8,11
52,53,2017,Kolkata,8,7,7,1,normal,0,8,9,0,8
53,54,2017,Pune,5,11,11,1,normal,0,11,0,9,21
54,55,2017,Delhi,13,3,13,0,normal,0,13,10,0,9
55,56,2017,Mumbai,11,8,8,1,normal,0,11,20,0,40
56,57,2017,Bangalore,14,7,7,1,normal,1,7,0,7,17
57,58,2017,Bangalore,7,8,8,1,normal,0,8,0,6,17
58,59,2017,Hyderabad,8,11,8,0,normal,0,8,1,0,28
59,60,2008,Bangalore,7,13,13,1,normal,0,7,140,0,17
60,61,2008,Chandigarh,0,5,0,0,normal,0,0,33,0,27
61,62,2008,Delhi,10,3,10,0,normal,0,3,0,9,9
62,63,2008,Mumbai,8,13,8,0,normal,0,13,0,5,40
63,64,2008,Kolkata,1,7,1,0,normal,0,7,0,5,8
64,65,2008,Jaipur,5,10,5,0,normal,0,10,0,6,32
65,66,2008,Hyderabad,1,3,1,0,normal,0,3,0,9,28
66,67,2008,Chennai,0,8,8,1,normal,0,0,6,0,20
67,68,2008,Hyderabad,1,10,10,1,normal,0,10,0,3,28
68,69,2008,Chandigarh,5,8,8,1,normal,0,5,66,0,27
69,70,2008,Bangalore,13,10,10,1,normal,0,10,0,7,17
70,71,2008,Chennai,7,0,7,0,normal,0,0,0,9,20
71,72,2008,Mumbai,8,1,1,1,normal,0,1,0,10,5
72,73,2008,Chandigarh,3,5,3,0,normal,0,5,0,4,27
73,74,2008,Bangalore,0,13,0,0,normal,0,0,13,0,17
74,75,2008,Kolkata,7,8,7,0,normal,0,8,0,7,8
75,76,2008,Delhi,3,13,13,1,normal,0,3,10,0,9
76,77,2008,Hyderabad,1,5,5,1,normal,0,5,0,7,28
77,78,2008,Jaipur,10,7,10,0,normal,0,10,45,0,32
78,79,2008,Chennai,0,3,0,0,normal,0,3,0,8,20
79,80,2008,Hyderabad,1,13,1,0,normal,0,13,0,5,28
80,81,2008,Chandigarh,5,7,5,0,normal,0,5,9,0,27
81,82,2008,Mumbai,8,3,3,1,normal,0,8,29,0,5
82,83,2008,Jaipur,0,10,0,0,normal,0,10,0,8,32
83,84,2008,Bangalore,13,5,5,1,normal,0,5,0,6,17
84,85,2008,Chennai,0,1,1,1,normal,0,1,0,7,20
85,86,2008,Mumbai,10,8,8,1,normal,0,8,0,7,5
86,87,2008,Delhi,3,0,0,1,normal,0,0,0,4,9
87,88,2008,Kolkata,7,13,7,0,normal,0,7,5,0,8
88,89,2008,Jaipur,1,10,10,1,normal,0,10,0,8,32
89,90,2008,Bangalore,13,8,8,1,normal,0,8,0,9,17
90,91,2008,Chennai,0,5,5,1,normal,0,0,18,0,20
91,92,2008,Hyderabad,7,1,7,0,normal,0,7,23,0,28
92,93,2008,Jaipur,3,10,10,1,normal,0,10,0,3,32
93,94,2008,Chandigarh,13,5,13,0,normal,0,5,0,9,27
94,95,2008,Kolkata,7,3,7,0,normal,0,7,23,0,8
95,96,2008,Mumbai,0,8,8,1,normal,0,8,0,9,40
96,97,2008,Chandigarh,5,10,10,1,normal,0,5,41,0,27
97,98,2008,Delhi,3,1,1,1,normal,0,3,12,0,9
98,99,2008,Mumbai,7,8,8,1,normal,0,8,0,8,40
99,100,2008,Delhi,3,5,3,0,normal,1,5,6,0,9
100,101,2008,Jaipur,10,13,13,1,normal,0,10,65,0,32
101,102,2008,Hyderabad,8,1,1,1,normal,0,8,25,0,28
102,103,2008,Kolkata,7,0,7,0,normal,1,0,3,0,8
103,104,2008,Bangalore,13,3,3,1,normal,0,3,0,5,17
104,105,2008,Kolkata,7,10,10,1,normal,0,10,0,6,8
105,106,2008,Mumbai,5,8,8,1,normal,0,5,1,0,40
106,107,2008,Chennai,13,0,13,0,normal,0,13,14,0,20
107,108,2008,Chandigarh,1,5,5,1,normal,0,5,0,6,27
108,109,2008,Delhi,8,3,3,1,normal,0,3,0,5,9
109,110,2008,Chennai,10,0,10,0,normal,0,10,10,0,20
110,111,2008,Bangalore,13,1,1,1,normal,0,13,3,0,17
111,112,2008,Kolkata,5,7,5,0,normal,0,7,0,3,8
112,113,2008,Jaipur,8,10,10,1,normal,0,10,0,5,32
113,114,2008,Hyderabad,1,0,1,0,normal,0,0,0,7,28
114,115,2008,Mumbai,10,3,3,1,normal,0,10,105,0,40
115,116,2008,Mumbai,5,0,5,0,normal,0,0,0,9,40
116,117,2008,Mumbai,0,10,10,1,normal,0,10,0,3,5
117,118,2009,Cape Town,8,0,0,1,normal,0,8,19,0,24
118,119,2009,Cape Town,13,10,13,0,normal,0,13,75,0,24
119,120,2009,Cape Town,5,3,3,1,normal,1,3,0,10,24
120,121,2009,Cape Town,7,1,7,0,normal,0,1,0,8,24
121,122,2009,Port Elizabeth,0,13,0,0,normal,0,0,92,0,36
122,123,2009,Durban,5,7,7,1,normal,1,7,11,0,16
